,player_display_name,position_group,next_fantasy_points,importance,replacement,PAR,draft_value
0,Aaron Rodgers,QB,14.796933091946624,1.0,13.938433718589334,0.8584993733572901,0.8584993733572901
1,Joe Flacco,QB,11.123332345564208,1.0,13.938433718589334,-2.8151013730251258,-2.8151013730251258
2,Matthew Stafford,QB,12.841134501352531,1.0,13.938433718589334,-1.0972992172368023,-1.0972992172368023
3,Andy Dalton,QB,5.168430362965079,1.0,13.938433718589334,-8.770003355624254,-8.770003355624254
4,Russell Wilson,QB,13.695103800080071,1.0,13.938433718589334,-0.24332991850926255,-0.24332991850926255
5,Kirk Cousins,QB,13.146230474369457,1.0,13.938433718589334,-0.792203244219877,-0.792203244219877
6,Geno Smith,QB,14.211685597575968,1.0,13.938433718589334,0.2732518789866347,0.2732518789866347
7,Derek Carr,QB,8.367868596679486,1.0,13.938433718589334,-5.570565121909848,-5.570565121909848
8,Jameis Winston,QB,6.872659559879711,1.0,13.938433718589334,-7.0657741587096226,-7.0657741587096226
9,Dak Prescott,QB,12.8577160913376,1.0,13.938433718589334,-1.0807176272517331,-1.0807176272517331
10,Jared Goff,QB,15.179563066785422,1.0,13.938433718589334,1.241129348196088,1.241129348196088
11,Jacoby Brissett,QB,5.354046385999253,1.0,13.938433718589334,-8.58438733259008,-8.58438733259008
12,Deshaun Watson,QB,11.255202850560316,1.0,13.938433718589334,-2.6832308680290176,-2.6832308680290176
13,Cooper Rush,QB,7.4592853752158605,1.0,13.938433718589334,-6.479148343373473,-6.479148343373473
14,Mitchell Trubisky,QB,14.085926520971693,1.0,13.938433718589334,0.1474928023823594,0.1474928023823594
15,Patrick Mahomes,QB,14.354624431610457,1.0,13.938433718589334,0.4161907130211233,0.4161907130211233
16,Mason Rudolph,QB,8.868712451943047,1.0,13.938433718589334,-5.069721266646287,-5.069721266646287
17,Lamar Jackson,QB,21.955622742358997,1.0,13.938433718589334,8.017189023769664,8.017189023769664
18,Baker Mayfield,QB,13.579839078267641,1.0,13.938433718589334,-0.35859464032169264,-0.35859464032169264
19,Josh Allen,QB,19.438352756999365,1.0,13.938433718589334,5.499919038410031,5.499919038410031
20,Sam Darnold,QB,14.834352354624276,1.0,13.938433718589334,0.895918636034942,0.895918636034942
21,Kyler Murray,QB,13.266830069141324,1.0,13.938433718589334,-0.6716036494480093,-0.6716036494480093
22,Gardner Minshew,QB,11.843391238573638,1.0,13.938433718589334,-2.095042480015696,-2.095042480015696
23,Drew Lock,QB,5.588782303605862,1.0,13.938433718589334,-8.349651414983471,-8.349651414983471
24,Daniel Jones,QB,11.193658378201667,1.0,13.938433718589334,-2.744775340387667,-2.744775340387667
25,Tyler Huntley,QB,9.708294806710116,1.0,13.938433718589334,-4.230138911879218,-4.230138911879218
26,Tua Tagovailoa,QB,13.52255781936617,1.0,13.938433718589334,-0.41587589922316326,-0.41587589922316326
27,Jordan Love,QB,8.972632481120993,1.0,13.938433718589334,-4.965801237468341,-4.965801237468341
28,Justin Herbert,QB,13.240796387395713,1.0,13.938433718589334,-0.6976373311936204,-0.6976373311936204
29,Jalen Hurts,QB,12.457408014232334,1.0,13.938433718589334,-1.481025704357,-1.481025704357
30,Joe Burrow,QB,14.321613680064342,1.0,13.938433718589334,0.3831799614750082,0.3831799614750082
31,Justin Fields,QB,12.816955119252238,1.0,13.938433718589334,-1.1214785993370953,-1.1214785993370953
32,Trevor Lawrence,QB,7.970703415075551,1.0,13.938433718589334,-5.9677303035137825,-5.9677303035137825
33,Mac Jones,QB,7.5714051386909995,1.0,13.938433718589334,-6.367028579898334,-6.367028579898334
34,Brock Purdy,QB,13.383549536599846,1.0,13.938433718589334,-0.5548841819894879,-0.5548841819894879
35,Kenny Pickett,QB,12.727759270250932,1.0,13.938433718589334,-1.210674448338402,-1.210674448338402
36,Desmond Ridder,QB,9.179874994728184,1.0,13.938433718589334,-4.7585587238611495,-4.7585587238611495
37,Malik Willis,QB,7.787002514216771,1.0,13.938433718589334,-6.151431204372563,-6.151431204372563
38,Aidan O'Connell,QB,6.969240202963278,1.0,13.938433718589334,-6.969193515626055,-6.969193515626055
39,Clayton Tune,QB,7.89805185022636,1.0,13.938433718589334,-6.0403818683629735,-6.0403818683629735
40,Dorian Thompson-Robinson,QB,1.5299719372732072,1.0,13.938433718589334,-12.408461781316127,-12.408461781316127
41,Jake Haener,QB,3.3324261810974978,1.0,13.938433718589334,-10.606007537491836,-10.606007537491836
42,Bryce Young,QB,6.842269737911966,1.0,13.938433718589334,-7.0961639806773675,-7.0961639806773675
43,Will Levis,QB,12.074613570387688,1.0,13.938433718589334,-1.8638201482016452,-1.8638201482016452
44,C.J. Stroud,QB,9.20691461500911,1.0,13.938433718589334,-4.731519103580224,-4.731519103580224
45,Anthony Richardson,QB,9.8118754102268,1.0,13.938433718589334,-4.126558308362533,-4.126558308362533
46,Spencer Rattler,QB,10.17418646041667,1.0,13.938433718589334,-3.764247258172663,-3.764247258172663
47,Bo Nix,QB,15.54402445428811,1.0,13.938433718589334,1.605590735698776,1.605590735698776
48,Drake Maye,QB,10.09207857465407,1.0,13.938433718589334,-3.846355143935263,-3.846355143935263
49,Jayden Daniels,QB,14.669602209114261,1.0,13.938433718589334,0.7311684905249276,0.7311684905249276
50,Michael Penix,QB,6.4434608309427,1.0,13.938433718589334,-7.494972887646633,-7.494972887646633
51,Caleb Williams,QB,12.142508342129277,1.0,13.938433718589334,-1.7959253764600565,-1.7959253764600565
0,Kyle Juszczyk,RB,4.544705723910843,1.2346904563733496,12.204858180127662,-7.660152456216819,-9.45791713205578
